city,country,latitude,longitude,property_name,property_type,site_review_rating,state,traveller_rating,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.581788,73.667805,Zion Home Stay,Hotel,4.5,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.544342,73.644242,Araliayas Resorts,Hotel,4.5,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.579942,73.681953,Shri Udai Palace,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.622607,73.855194,SNP House Airport Hotel And Restaurant,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.5801,73.6822,Hotel Pichola Haveli (LAKE SIDE),Hotel,3.7,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.575779,73.694363,Garden Hotel,Hotel,4.1,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.567592,73.677763,Jagmandir Island Palace,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.5452,73.6784,Shikarbadi Heritage,Hotel,3.9,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.574291,73.684014,Shiv Niwas Palace,Hotel,4.8,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.599427,73.69001,Hotel The Archi,Hotel,4.7,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.615796,73.707245,Everest Resort,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.57687,73.694619,Hotel Mukund Villas,Hotel,4.8,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.5769,73.6995,Hotel Paras,Hotel,2,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.573297,73.699672,Hotel Jagat Villa,Hotel,4.5,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.577341,73.700399,Shree Narayana,Hotel,4,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.5773,73.7014,Hotel Sunder,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.583848,73.651997,Blue Mountain Hotel,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.576239,73.696768,Hotel Shalimar Palace,Hotel,4.2,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.609454,73.660771,Amantra Shilpi Resort,Hotel,4.5,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.591,73.6805,Hotel Kalika Palace,Hotel,,,,,,,,,,,,,,,,,,,,,,
